iter	Accuracy	MultiClass
0	0.7804453752	1.477430249
1	0.7920950442	1.292976332
2	0.8034396616	1.158203493
3	0.8063335285	1.054369058
4	0.8055337989	0.9705696609
5	0.8048824727	0.9030218215
6	0.8145946525	0.8447353814
7	0.8147348113	0.7984667323
8	0.8140917298	0.7558468427
9	0.8156994336	0.716826314
10	0.8165980988	0.6862700334
11	0.8169608627	0.6554735041
12	0.8206049913	0.6284381878
13	0.8259227808	0.6026674654
14	0.8269698494	0.5806067554
15	0.8281983	0.5618601489
16	0.8285198407	0.544305108
17	0.8305974887	0.5280960582
18	0.8312323256	0.5156743904
19	0.8310839221	0.5038410294
20	0.8331203469	0.4912976644
21	0.8340190121	0.4820535738
22	0.8340932138	0.4738750533
23	0.8349011881	0.4654413675
24	0.8358080979	0.4583766068
25	0.8359317674	0.4512822386
26	0.8362697974	0.44558608
27	0.8364099562	0.439870196
28	0.8366737845	0.4353712828
